"Adele","","Pop/Rock","Adult Alternative, Indie Rock","","Standard","","Carpinteria","Stereo","33 ⅓","25","Vinyl","","2015","351","Admin","3/27/2025 3:41:01 PM","351","","10/9/2025 14:39:03","Admin","1","YM","BE16221A-F9C4-4433-9B7F-E2882517227B",""
"Ahmad Jamal Trio","","Jazz","Cool, Post-Bop","","180g","","Carpinteria","Stereo","33 ⅓","The Awakening","Vinyl","","1970","351","Admin","3/27/2025 3:41:01 PM","351","No","10/9/2025 14:39:03","Admin","2","YM","B9BF935A-7C4E-472E-8693-325190B951CC",""
"Albert Dailey","","Jazz","Hard Bop, Post-Bob","","CCIR","150","Carpinteria","Stereo","15 ips","Alone and Together","Tape","International Phonograph Inc.","1978","351","Admin","3/27/2025 3:41:01 PM","351","No","5/6/2025 11:11:52 AM","Admin","","Mark","A73BE1D0-D691-4F9C-9500-79C16A141E6F",""
"Amy Winehouse","","R&B","Contemporary R&B, Neo-Soul","","","","Carpinteria","Stereo","33 ⅓","Back to Black","Vinyl","","2006","351","Admin","3/27/2025 3:41:01 PM","351","","10/9/2025 14:39:03","Admin","3","YM","0556B729-56AC-4F1F-A10E-0E7A818A4AFB",""
"Amy Winehouse","2/17/2025","R&B","","","Standard","80","Carpinteria","Stereo","33 ⅓","Rehab","Vinyl","Thetopdj","2006","351","Admin","3/27/2025 3:41:01 PM","351","","10/9/2025 14:39:03","Admin","4","YM","C62CA2F9-45D3-4033-BACF-1C024AEF9988",""
"Andrea Bocelli","2/17/2025","Classical","Classical Crossover","","180g","150","Carpinteria","Stereo","33 ⅓","Passione","Vinyl","Discogs","2013","351","Admin","3/27/2025 3:41:01 PM","351","No","10/9/2025 14:39:03","Admin","5","YM","4B50769A-8755-4F71-B489-ADD673824290",""
"Andrea Bocelli","2/17/2025","Classical","Classical Crossover, Italian","","180g","44","Carpinteria","Stereo","33 ⅓","Romanza","Vinyl","Discogs","1997","351","Admin","3/27/2025 3:41:01 PM","351","","10/9/2025 14:39:03","Admin","6","YM","1D7BF58B-77A8-4398-B671-6532BF6E3EEA",""
"Anita Day","","Jazz","Vocal Jazz","","","","Carpinteria","Mono","33 ⅓","Hi Ho Trailus Boot Whip","Vinyl","","1947","351","Admin","3/27/2025 3:41:01 PM","351","","10/9/2025 14:39:03","Admin","7","YM","AB39A273-E82D-401F-B4B0-945CEB0A6693",""
"Anri","2/18/2025","International","Japanese Pop","","140g","55","Carpinteria","Stereo","33 ⅓","Bi Ki Ni","Vinyl","Discogs","1983","351","Admin","3/27/2025 3:41:01 PM","351","","10/9/2025 14:39:03","Admin","8","YM","F4E8A2DD-CECB-4358-829A-F641CCF3A9DF",""
"Anri","2/18/2025","International","Japanese Pop","","140g","55","Truckee","Stereo","33 ⅓","Bi Ki Ni","Vinyl","Amazon","1983","351","Admin","10/7/2025 3:58:54 PM","351","","10/9/2025 14:39:03","Admin","9","YM","809FA75B-03C1-4E97-BE05-B3882ABB45D7",""
"Aretha Franklin","2/18/2025","R&B","Soul","","140g","45","Carpinteria","Stereo","33 ⅓","Aretha Now","Vinyl","VinylMe","1967","351","Admin","3/27/2025 3:41:01 PM","351","","10/9/2025 14:39:03","Admin","10","YM","5A27E4F0-434E-4C3F-97C0-0C76CC03A7EB",""
"Aretha Franklin","","R&B","Adult Contemporary R&B","","140g","","Carpinteria","Stereo","33 ⅓","Knew You Were Waiting","Vinyl","","2012","351","Admin","3/27/2025 3:41:01 PM","351","","10/9/2025 14:39:03","Admin","11","YM","39E18BE1-046C-4AE8-B4D1-D79E8D6DCAB8",""
"Arirang","1/23/2026","World","","","140g","0","Carpinteria","Mono","","Arirang Ensemble Seoul","Vinyl","Gift","1964","351","Admin","1/23/2026 3:24:42 PM","351","","1/23/2026 15:27:36","Admin","","YM","19BBE9DA-FDB7-4134-AA73-BE898D0585EB",""
"Arnett Cobb","11/28/2025","Jazz","Hard Bop, Soul Jazz","","SACD","34","Truckee","Stereo","","Party Time","CD","veteranrocker","1959","351","Admin","11/28/2025 9:57:54 PM","351","","11/28/2025 22:04:49","Admin","","YM","1F885190-E5F7-4DAE-9AF4-97DCE0A28FD2",""
"Art Blakey","5/2/2025","Jazz","Hard Bop","","CCIR","850","Carpinteria","Stereo","15 ips","Moanin","Tape","Sepea","1958","351","Admin","5/2/2025 7:35:20 PM","351","","5/5/2025 6:54:24 PM","Admin","","YM","4DDFE680-42C9-4E0F-9A7F-448182C8DBC8",""
"Art Blakey’s Jazz Messengers","","Jazz","Hard Bop","","180g","","Carpinteria","Mono","33 ⅓","Art Blakey and the Jazz Messengers","Vinyl","","1958","351","Admin","3/27/2025 3:41:01 PM","351","","10/9/2025 14:39:03","Admin","12","YM","A479DD45-4B8B-46B8-833D-8B1CCE73863C",""
"Art Blakey’s Jazz Messengers","","Jazz","Hard Bop","","","","Carpinteria","Stereo","33 ⅓","Moanin’ ","Vinyl","","1958","351","Admin","3/27/2025 3:41:01 PM","351","","10/9/2025 14:39:03","Admin","13","YM","DA28E6BB-BF76-4C36-A533-AB84835030A5",""
"Art Blakey’s Jazz Messengers","","Jazz","Hard Bop","","180g","","Carpinteria","Stereo","33 ⅓","Mosaic","Vinyl","","1961","351","Admin","3/27/2025 3:41:01 PM","351","","10/9/2025 14:39:03","Admin","14","YM","ACF4F315-F005-477A-8BF7-C0F6DAE67036",""
"B.B. King","11/5/2025","Blues","","","SACD","50","Truckee","Stereo","","Reflections","CD","Discogs","2003","351","Admin","11/5/2025 8:52:45 PM","351","","11/28/2025 22:07:19","Admin","","YM","F3448CE2-59A4-4552-B14F-71A3D659AFED",""
"Bach","12/1/2025","Classical","Baroque","","SACD","21","Truckee","Stereo","","Goldberg Variations","CD","Recordmule","2018","351","Admin","12/1/2025 12:26:10 PM","351","","12/1/2025 12:28:54","Admin","","YM","C13364C1-08EB-4AEE-971D-C5CFA83100FE",""
"Bach","12/2/2025","Classical","","","CCIR","290","Truckee","Stereo","15 ips","Petteri Livonen Playes Bach","Tape","Yarlung Records","","351","Admin","12/27/2025 2:09:53 PM","351","","12/27/2025 14:11:29","Admin","","YM","FAE3AFE5-8D4A-457E-9FD4-F84BDD3A9782",""
"Bach, J.S.","11/28/2025","Classical","Sacred choral/oratorio","","SACD","24","Truckee","Stereo","","Cantates De Noël","CD","muzicstuff","2003","351","Admin","11/28/2025 6:56:54 PM","351","","11/28/2025 22:08:12","Admin","","YM","0B6AFDE5-9822-4235-8846-7DBC7AA41004",""
"Bach, J.S.","11/6/2025","Classical","","","Red Book","20","Truckee","Stereo","","Goldberg Variations","CD","Discogs","","351","Admin","11/6/2025 1:43:22 AM","351","","11/6/2025 01:45:13","Admin","","YM","C2E40B49-EAB9-450D-9E0E-A584EB5A0C55",""
"Beaux Arts Trio","4/6/2025","Classical","","","Standard","52","Carpinteria","Stereo","33 ⅓","Ravel Piano Trios","Vinyl","Discogs","1983","351","Admin","4/6/2025 2:28:23 AM","351","","10/9/2025 14:39:03","Admin","15","YM","2B0212E0-A6F2-4D67-9B9A-153852451B2E",""
"Beethoven","","Classical","","","Standard","","Carpinteria","Stereo","33 ⅓","Nr. 6 Berlin","Vinyl","","1962","351","Admin","3/27/2025 3:41:01 PM","351","","10/9/2025 14:39:03","Admin","16","YM","513D0450-4031-4AA6-892F-F32ECA414BE7",""
"Beethoven","10/3/2025","Classical","","","SACD","50","Truckee","Stereo","","Symphony No. 6 ","CD","veteranrocker","","351","Admin","10/3/2025 12:06 PM","351","","10/3/2025 12:06:52","Admin","","YM","8D3CE931-9024-4716-B5D7-2530C16B899E",""
"Beethoven","4/6/2025","Classical","","","Standard","179","Carpinteria","Stereo","33 ⅓","Symphony Nr. 5 Berliner Philharmoniker","Vinyl","Amazon","1962","351","Admin","4/6/2025 10:04:36 AM","351","","10/9/2025 14:39:03","Admin","17","YM","36D7ACF2-8BC3-4B95-9491-C19926993C29",""
"Ben Webster","3/13/2025","Jazz","","","CCIR","995","Carpinteria","Stereo","15 ips","Stardust","Tape","2XHD","1964","351","Admin","3/27/2025 3:41:01 PM","351","","5/7/2025 5:59:24 PM","Admin","","YM","5954A01B-8253-4B1D-8D5A-6A3EFF8D6BE1",""
"Ben Webster Quintet","5/2/2025","Jazz","","","CCIR","850","Carpinteria","Stereo","15 ips","Soulville","Tape","Sepea","1957","351","Admin","5/2/2025 7:37:12 PM","351","","5/5/2025 7:02:59 PM","Admin","","YM","3E5D1EC1-0669-4A9C-BF76-1604AE3627A7",""
"Big Brother & the Holding Company","","Pop/Rock","Blues Rock, Acid Rock","","","","Carpinteria","Stereo","45","Cheap Thrills","Vinyl","","1968","351","Admin","3/27/2025 3:41:01 PM","351","","10/9/2025 14:39:03","Admin","18","YM","C693A985-3967-42C9-A1D6-7B2E2F00D695",""
"Big John Patton","","Jazz","Hard Bop","","","","Carpinteria","Mono","33 ⅓","Got a Good Thing Goin’ ","Vinyl","","1966","351","Admin","3/27/2025 3:41:01 PM","351","","10/9/2025 14:39:03","Admin","19","YM","2FAE674F-DDB9-435F-BA63-B12B93997198",""
"Bill Evans","1/28/2025","Jazz","Cool, Post-Bop","","CCIR","995","Carpinteria","Stereo","15 ips","Some Other Time","Tape","Fidelio Technologies","1963","351","Admin","3/27/2025 3:41:01 PM","351","Yes","5/5/2025 7:06:27 PM","Admin","","Mark","C201AC9A-019B-47D6-A529-AC706FC57332",""
"Bill Evans","3/18/2025","Jazz","Modal, Post-Bop","","CCIR","500","Carpinteria","Stereo","15 ips","Top of the Gate Vol 1","Tape","2XHD","1968","351","Admin","3/27/2025 3:41:01 PM","351","Yes","5/12/2025 9:18:25 AM","Admin","","YM","BAC9FD1A-68A9-4812-8C69-DB45D1B1D9F1",""
"Bill Evans Trio","","Jazz","Modal, Post-Bop","","","","Carpinteria","Stereo","33 ⅓","Moon Beams","Vinyl","","1962","351","Admin","3/27/2025 3:41:01 PM","351","","10/9/2025 14:39:03","Admin","20","YM","7C7F38C7-5958-433B-8B30-A1F6AE4F1EC7",""
"Bill Evans Trio","","Jazz","Post-Bop","","","","Carpinteria","Stereo","33 ⅓","Portrait in Jazz","Vinyl","","1960","351","Admin","3/27/2025 3:41:01 PM","351","","10/9/2025 14:39:03","Admin","21","YM","75B2C1C9-9B37-45B5-A20F-444E1B6F71D0",""
"Bill Evans Trio","","Jazz","Post-Bop","","","","Carpinteria","Mono","33 ⅓","Portrait in Jazz","Vinyl","","1960","351","Admin","3/27/2025 3:41:01 PM","351","","10/9/2025 14:39:03","Admin","22","YM","B839C795-2FD8-4B69-A632-D11B10AB007E",""
"Bill Evans Trio","","Jazz","Post-Bop","","180g","","Carpinteria","Stereo","33 ⅓","Sunday at the Village Vanguard","Vinyl","","1961","351","Admin","3/27/2025 3:41:01 PM","351","","10/9/2025 14:39:03","Admin","23","YM","9BCE86AF-B8B0-452C-A196-AEB6D255C215",""
"Bill Evans Trio","10/1/2025","Jazz","","","SACD","41","Truckee","Mono","","Sunday at the Village Vanguard","CD","DubStoreUSA","1961","351","Admin","10/1/2025 4:49:12 PM","351","","10/3/2025 12:11:29","Admin","","YM","02EFEA4E-57AE-4440-A313-E1E511E1CD06",""
"Bill Evans Trio","","Jazz","Post-Bop","","","","Carpinteria","Stereo","33 ⅓","Waltz for Debby","Vinyl","","1962","351","Admin","3/27/2025 3:41:01 PM","351","","10/9/2025 14:39:03","Admin","24","YM","52DEE724-D229-408C-92A6-64A75AE99485",""
"Bill Evans Trio","3/18/2025","Jazz","Post-Bop","","CCIR","900","Carpinteria","Stereo","15 ips","Waltz for Debby","Tape","Sepea","1962","351","Admin","3/27/2025 3:41:01 PM","351","","5/5/2025 7:11:05 PM","Admin","","YM","05E66A55-1957-4C29-872D-2A3D86F74D8D",""
